T4,T5,T6,T7,T8,AVGND
5.5,6.4,6.4,1.9,3.97,LOW
9.1,10,6.4,2.8,4.6,AVERAGE
10,9.28,10,10,10,HIGH
10,10,3.7,10,10,AVERAGE
9.1,10,8.2,7.3,9.1,HIGH
3.7,5.5,7.3,7.3,2.8,AVERAGE
7.3,6.4,6.4,6.4,10,AVERAGE
4.24,3.07,5.5,3.7,4.6,LOW
6.4,4.6,1.9,4.6,5.5,LOW
10,5.5,7.3,4.6,3.7,AVERAGE
8.2,2.8,7.03,8.2,2.8,AVERAGE
4.6,5.23,6.4,5.5,6.4,AVERAGE
8.2,3.7,8.83,4.6,8.83,AVERAGE
7.03,8.2,10,4.78,5.5,AVERAGE
5.5,3.25,6.4,4.6,4.6,LOW
2.8,1,1.9,5.5,6.4,LOW
4.6,2.8,3.7,3.97,4.6,LOW
7.3,4.6,6.67,6.4,8.2,AVERAGE
10,4.6,9.1,8.2,10,HIGH
10,10,3.7,5.5,6.4,AVERAGE
4.6,2.8,3.97,8.2,3.7,LOW
10,6.4,7.3,5.5,6.4,AVERAGE
3.97,4.6,7.3,7.3,4.6,AVERAGE
4.6,6.4,3.7,9.1,9.1,AVERAGE
10,7.75,10,10,8.92,HIGH
1,4.42,6.4,6.67,7.75,LOW
10,10,10,8.92,9.1,HIGH
10,9.1,10,8.92,8.92,HIGH
8.92,7.75,10,9.1,10,HIGH
8.92,7.3,5.5,7.3,8.92,AVERAGE
7.75,7.75,10,10,10,HIGH
5.5,3.25,6.67,4.42,5.5,AVERAGE
4.42,7.75,10,5.5,8.47,AVERAGE
8.92,10,10,8.92,10,HIGH
8.92,7.75,6.67,8.92,8.92,HIGH
8.92,8.92,8.92,8.92,6.67,AVERAGE
8.92,9.1,6.67,8.92,7.75,HIGH
5.5,7.75,3.61,8.92,6.67,AVERAGE
5.5,5.5,3.25,6.4,3.25,LOW
5.5,4.42,6.67,5.5,4.78,LOW
7.75,3.25,9.64,8.92,7.75,AVERAGE
3.25,8.92,6.67,5.5,6.4,AVERAGE
4.42,5.5,3.61,6.67,7.3,LOW
3.25,6.67,6.67,8.92,6.67,AVERAGE
10,10,8.92,10,10,HIGH
8.92,10,8.92,10,10,HIGH
6.67,4.42,7.3,6.67,6.67,AVERAGE
7.75,3.61,5.5,3.25,7.03,LOW
10,10,10,10,8.92,HIGH
5.5,6.67,4.42,5.5,3.25,AVERAGE
6.67,5.5,5.5,5.5,8.92,AVERAGE
5.5,4.6,5.86,5.5,7.3,AVERAGE
8.92,6.67,2.8,3.25,6.67,AVERAGE
6.67,6.67,7.75,7.75,10,AVERAGE
7.75,7.75,5.5,8.92,6.67,AVERAGE
4.42,7.75,9.28,8.92,7.75,HIGH
5.5,7.75,5.5,5.5,10,AVERAGE
10,10,10,10,10,HIGH
10,8.2,10,10,10,HIGH
5.5,3.25,7.75,6.67,8.92,AVERAGE
8.92,8.92,8.92,8.92,10,HIGH
4.42,5.5,4.6,3.25,5.5,LOW
9.1,7.75,7.75,8.92,10,HIGH
7.75,7.75,7.75,6.67,8.92,AVERAGE
7.75,7.75,7.75,10,9.1,AVERAGE
5.5,6.67,6.67,6.67,4.42,LOW
4.42,4.42,3.25,6.67,4.42,LOW
10,2.17,5.5,6.67,6.67,AVERAGE
6.67,4.42,4.42,6.67,5.86,AVERAGE
3.25,3.25,5.5,3.25,4.42,LOW
4.42,3.25,7.75,3.25,4.42,LOW
5.5,4.42,6.67,6.67,5.5,AVERAGE
5.5,4.42,5.5,7.75,6.67,LOW
7.3,7.75,7.3,7.75,7.75,AVERAGE
3.25,5.5,3.25,2.17,3.25,LOW
3.25,4.42,4.42,7.75,5.5,LOW
6.67,6.67,6.67,9.1,8.2,AVERAGE
7.75,7.75,7.75,9.1,8.92,HIGH
8.92,8.92,7.75,6.67,7.75,HIGH
4.42,3.25,5.5,7.75,7.75,LOW
5.5,4.42,8.92,7.75,5.5,LOW
7.75,7.75,8.2,5.5,10,AVERAGE
10,8.92,7.03,5.5,6.67,AVERAGE
6.67,4.42,2.17,4.42,3.25,LOW
7.75,7.75,7.75,7.3,7.75,AVERAGE
10,7.75,10,10,8.92,HIGH
7.75,5.5,10,8.92,7.75,HIGH
4.42,6.67,6.67,5.86,4.42,LOW
4.42,4.42,5.5,5.5,3.25,LOW
8.92,7.75,10,10,7.75,AVERAGE
9.28,7.75,8.92,10,10,HIGH
8.92,6.67,8.92,7.75,8.92,HIGH
7.75,10,6.67,8.92,8.92,HIGH
6.67,8.92,5.5,4.42,7.75,AVERAGE
4.42,8.92,8.92,7.3,7.75,AVERAGE
7.75,8.92,6.67,6.67,7.75,AVERAGE
5.5,5.5,6.67,8.92,6.4,AVERAGE
3.25,3.25,7.75,5.5,7.75,AVERAGE
5.5,4.42,4.42,5.5,2.17,LOW
5.5,6.67,7.75,10,8.92,AVERAGE
3.25,4.42,3.61,5.5,5.5,LOW
3.25,4.42,3.7,6.67,6.67,LOW
